Date,Hour (HE),Day_of_Week,Is_Weekend,Week,Month,Quarter,Market_Demand_MW,Ontario_Demand_MW
01/01/2024,1,Monday,FALSE,1,January,Q1,17091,14482
01/01/2024,2,Monday,FALSE,1,January,Q1,16658,14180
01/01/2024,3,Monday,FALSE,1,January,Q1,16233,13722
01/01/2024,4,Monday,FALSE,1,January,Q1,15909,13637
01/01/2024,5,Monday,FALSE,1,January,Q1,15998,13697
01/01/2024,6,Monday,FALSE,1,January,Q1,16331,13787
01/01/2024,7,Monday,FALSE,1,January,Q1,16493,14055
01/01/2024,8,Monday,FALSE,1,January,Q1,17486,14481
01/01/2024,9,Monday,FALSE,1,January,Q1,17687,14708
01/01/2024,10,Monday,FALSE,1,January,Q1,17549,14890
01/01/2024,11,Monday,FALSE,1,January,Q1,17884,15240
01/01/2024,12,Monday,FALSE,1,January,Q1,18180,15564
01/01/2024,13,Monday,FALSE,1,January,Q1,18113,15920
01/01/2024,14,Monday,FALSE,1,January,Q1,18441,16072
01/01/2024,15,Monday,FALSE,1,January,Q1,18793,16339
01/01/2024,16,Monday,FALSE,1,January,Q1,18759,16538
01/01/2024,17,Monday,FALSE,1,January,Q1,19466,17147
01/01/2024,18,Monday,FALSE,1,January,Q1,20424,17805
01/01/2024,19,Monday,FALSE,1,January,Q1,20477,17525
01/01/2024,20,Monday,FALSE,1,January,Q1,19970,17261
01/01/2024,21,Monday,FALSE,1,January,Q1,19202,16822
01/01/2024,22,Monday,FALSE,1,January,Q1,18650,16303
01/01/2024,23,Monday,FALSE,1,January,Q1,17643,15410
01/01/2024,24,Monday,FALSE,1,January,Q1,16889,14694
02/01/2024,1,Tuesday,FALSE,1,January,Q1,16372,14124
02/01/2024,2,Tuesday,FALSE,1,January,Q1,16045,13796
02/01/2024,3,Tuesday,FALSE,1,January,Q1,15915,13617
02/01/2024,4,Tuesday,FALSE,1,January,Q1,15867,13500
02/01/2024,5,Tuesday,FALSE,1,January,Q1,16263,13714
02/01/2024,6,Tuesday,FALSE,1,January,Q1,17131,14196
02/01/2024,7,Tuesday,FALSE,1,January,Q1,18250,15381
02/01/2024,8,Tuesday,FALSE,1,January,Q1,19543,16411
02/01/2024,9,Tuesday,FALSE,1,January,Q1,19848,16839
02/01/2024,10,Tuesday,FALSE,1,January,Q1,20284,17215
